Product,Total Production,Percentage Total Production,Healthy Production vizualization,Increase/decrese percent scenario1,Difference vizualization,,Increase/decreaase difference scenario1,Healthy production scenario 1,Increase percentage of self production(100) scenario 1,Increase/decrease percent scenario 2,Increase/Decrase difference scenario 2,Healthy production scenario 2,Increase percentage of self production(100) scenario 2
Apples,125402515,1.117496532,207321244,1,81918729,,112217363.9,237619878.9,89.48573635,0.05,5607285.73,131009800.7,4.471430043
Bananas,121892122,1.086214448,121892122,,0,,0,121892122,0,0,0,121892122,0
Barley (Beer),383189678,3.414709315,383189678,,0,,0,383189678,0,0,0,383189678,0
Beef (beef herd),69923186,0.62310487,39624512,-0.27,-30298674,,-30298688.27,39624497.73,-43.33138977,-0.0135,-1513967.147,68409218.85,-2.165186162
Beet Sugar,287379790,2.560920876,62945076,-2,-224434714,,-224434727.9,62945062.11,-78.09690719,-0.1,-11214571.46,276165218.5,-3.902352166
Berries & Grapes,101162614,0.901488062,101162614,,0,,0,101162614,0,0,0,101162614,0
Brassicas,103567530,0.922918935,103567530,,0,,0,103567530,0,0,0,103567530,0
Cane Sugar,1984872012,17.68774406,265701990,-15.32,-1719170022,,-1719170016,265701996.4,-86.61364588,-0.766,-85903617.38,1898968395,-4.327917209
Cassava,295475176,2.633061102,295475176,,0,,0,295475176,0,0,0,295475176,0
Cheese,22501888,0.200520554,22501888,,0,,0,22501888,0,0,0,22501888,0
Citrus Fruit,183559333,1.635748039,744646148,5,561086815,,561086819.7,744646152.7,305.6705483,0.25,28036428.65,211595761.6,15.27376908
Coffee,9521479,0.084848536,9521479,,0,,0,9521479,0,0,0,9521479,0
Eggs,101358750,0.903235885,78915290,-0.2,-22443460,,-22443472.79,78915277.21,-22.14261007,-0.01,-1121457.146,100237292.9,-1.106423615
Groundnuts,62181046,0.554112517,62181046,,0,,0,62181046,0,0,0,62181046,0
Lamb & Mutton,11929186,0.106304279,11929186,,0,,0,11929186,0,0,0,11929186,0
Maize (Meal),1402713992,12.49997276,1243365362,-1.42,-159348630,,-159348656.8,1243365335,-11.36002476,-0.071,-7962345.736,1394751646,-0.567638576
Milk,143305874,1.277038321,539433132,3.53,396127258,,396127294.7,539433168.7,276.4208358,0.1765,19793718.63,163099592.6,13.81221723
Nuts,21463221,0.191264705,21463221,,0,,0,21463221,0,0,0,21463221,0
Olive Oil,3438808,0.03064417,9049657,0.05,5610849,,5610868.197,9049676.197,163.1631716,0.0025,280364.2865,3719172.286,8.152949699
Onions & Leeks,121197468,1.080024194,233412386,0.78,112214918,,87529543.88,208727011.9,72.22060438,0.039,4373682.869,125571150.9,3.608724622
Other Vegetables,707300969,6.302954767,707300969,,0,,0,707300969,0,0,0,707300969,0
Palm Oil,58557083,0.521818379,64881835,0.04,6324752,,4488694.558,63045777.56,7.665502323,0.002,224291.4292,58781374.43,0.3830304
Peas,48500811,0.432204155,48500811,,0,,0,48500811,0,0,0,48500811,0
Pig Meat,173995592,1.550522895,112276053,-0.55,-61719539,,-61719550.17,112276041.8,-35.47190447,-0.0275,-3084007.151,170911584.8,-1.772462806
Potatoes,581423221,5.181223302,1638373513,9.42,1056950292,,1057087568,1638510789,181.8103457,0.471,52820631.58,634243852.6,9.084713109
Poultry Meat,133668392,1.19115605,94392308,-0.35,-39276084,,-39276077.38,94392314.62,-29.38321977,-0.0175,-1962550.005,131705842,-1.468222948
Rapeseed Oil,28619274,0.255034274,28619274,,0,,0,28619274,0,0,0,28619274,0
Rice,635122224,5.659749986,579013543,-0.5,-56108681,,-56108681.97,579013542,-8.834312492,-0.025,-2803642.865,632318581.1,-0.441433595
Root Vegetables,113786497,1.013982979,113786497,,0,,0,113786497,0,0,0,113786497,0
Soybean Oil,66365210,0.591398761,66365210,,0,,0,66365210,0,0,0,66365210,0
Sunflower Oil,16370040,0.145877959,21980912,0.05,5610872,,5610868.197,21980908.2,34.27522594,0.0025,280364.2865,16650404.29,1.712667083
Tomatoes,233880713,2.084175789,233880713,,0,,0,233880713,0,0,0,233880713,0
Wheat & Rye (Bread),895259715,7.977907193,976291066,0.73,81031351,,81918675.68,977178390.7,9.150269392,0.0365,4093318.583,899353033.6,0.457221353
Wine,29246242,0.26062136,29246242,,0,,0,29246242,0,0,0,29246242,0
