Product,Total Production,Percentage Total Production,Healthy Production vizualization,Increase/decrese percent scenario1,Difference vizualization,,Increase/decreaase difference scenario1,Healthy production scenario 1,Increase percentage of self production(100) scenario 1
Apples,125402515,1.117496532,207321244,1,81918729,,112217363.9,237619878.9,89.48573635
Bananas,121892122,1.086214448,121892122,,0,,0,121892122,0
Barley (Beer),383189678,3.414709315,383189678,,0,,0,383189678,0
Beef (beef herd),69923186,0.62310487,39624512,-0.27,-30298674,,-30298688.27,39624497.73,-43.33138977
Beet Sugar,287379790,2.560920876,62945076,-2,-224434714,,-224434727.9,62945062.11,-78.09690719
Berries & Grapes,101162614,0.901488062,101162614,,0,,0,101162614,0
Brassicas,103567530,0.922918935,103567530,,0,,0,103567530,0
Cane Sugar,1984872012,17.68774406,265701990,-15.32,-1719170022,,-1719170016,265701996.4,-86.61364588
Cassava,295475176,2.633061102,295475176,,0,,0,295475176,0
Cheese,22501888,0.200520554,22501888,,0,,0,22501888,0
Citrus Fruit,183559333,1.635748039,744646148,5,561086815,,561086819.7,744646152.7,305.6705483
Coffee,9521479,0.084848536,9521479,,0,,0,9521479,0
Eggs,101358750,0.903235885,78915290,-0.2,-22443460,,-22443472.79,78915277.21,-22.14261007
Groundnuts,62181046,0.554112517,62181046,,0,,0,62181046,0
Lamb & Mutton,11929186,0.106304279,11929186,,0,,0,11929186,0
Maize (Meal),1402713992,12.49997276,1243365362,-1.42,-159348630,,-159348656.8,1243365335,-11.36002476
Milk,143305874,1.277038321,539433132,3.53,396127258,,396127294.7,539433168.7,276.4208358
Nuts,21463221,0.191264705,21463221,,0,,0,21463221,0
Olive Oil,3438808,0.03064417,9049657,0.05,5610849,,5610868.197,9049676.197,163.1631716
Onions & Leeks,121197468,1.080024194,233412386,0.78,112214918,,87529543.88,208727011.9,72.22060438
Other Vegetables,707300969,6.302954767,707300969,,0,,0,707300969,0
Palm Oil,58557083,0.521818379,64881835,0.04,6324752,,4488694.558,63045777.56,7.665502323
Peas,48500811,0.432204155,48500811,,0,,0,48500811,0
Pig Meat,173995592,1.550522895,112276053,-0.55,-61719539,,-61719550.17,112276041.8,-35.47190447
Potatoes,581423221,5.181223302,1638373513,9.42,1056950292,,1057087568,1638510789,181.8103457
Poultry Meat,133668392,1.19115605,94392308,-0.35,-39276084,,-39276077.38,94392314.62,-29.38321977
Rapeseed Oil,28619274,0.255034274,28619274,,0,,0,28619274,0
Rice,635122224,5.659749986,579013543,-0.5,-56108681,,-56108681.97,579013542,-8.834312492
Root Vegetables,113786497,1.013982979,113786497,,0,,0,113786497,0
Soybean Oil,66365210,0.591398761,66365210,,0,,0,66365210,0
Sunflower Oil,16370040,0.145877959,21980912,0.05,5610872,,5610868.197,21980908.2,34.27522594
Tomatoes,233880713,2.084175789,233880713,,0,,0,233880713,0
Wheat & Rye (Bread),895259715,7.977907193,976291066,0.73,81031351,,81918675.68,977178390.7,9.150269392
Wine,29246242,0.26062136,29246242,,0,,0,29246242,0
,,,,,,,,,
,9278131651,82.68,9272207683,-0.01,-5923968,0,-1122173.639,9277009477,824.6282255
,,,,,,,,,
,1122173.639,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,9278131651,112217363.9,,,,,,,
